TREE_NAMES	Clade	MAG	Total_abundance
TARA_CHLORO_00283	Ochrophytes	mag	555.3758341
TARA_CHLORO_00284	Ochrophytes	mag	548.454513
TARA_CHLORO_00286	Ochrophytes	mag	2981.311528
TARA_CHLORO_00287	Ochrophytes	mag	5807.745728
TARA_CHLORO_00288	Ochrophytes	mag	319.5936761
TARA_CHLORO_00289	Ochrophytes	mag	654.8700374
TARA_CHLORO_00290	Ochrophytes	mag	180.7690148
TARA_CHLORO_00291	Ochrophytes	mag	64.21029635
TARA_CHLORO_00292	Ochrophytes	mag	75.18624336
TARA_CHLORO_00293	Ochrophytes	mag	56.08869885
TARA_CHLORO_00294	Ochrophytes	mag	13.2782147
TARA_CHLORO_00295	Ochrophytes	mag	105.3479716
TARA_CHLORO_00297	Ochrophytes	mag	4689.054572
TARA_CHLORO_00298	Ochrophytes	mag	53.3752162
TARA_CHLORO_00299	Ochrophytes	mag	171.288697
TARA_CHLORO_00300	Ochrophytes	mag	63.02693056
TARA_CHLORO_00301	Ochrophytes	mag	91.8850414
TARA_CHLORO_00302	Ochrophytes	mag	533.6812091
TARA_CHLORO_00303	Ochrophytes	mag	141.9492274
TARA_CHLORO_00304	Ochrophytes	mag	648.1121229
TARA_CHLORO_00305	Ochrophytes	mag	128.9588614
TARA_CHLORO_00306	Ochrophytes	mag	1954.599532
TARA_CHLORO_00307	Ochrophytes	mag	2687.695913
TARA_CHLORO_00308	Ochrophytes	mag	1104.710327
TARA_CHLORO_00309	Ochrophytes	mag	1308.100814
TARA_CHLORO_00310	Ochrophytes	mag	1142.73037
TARA_CHLORO_00311	Ochrophytes	mag	121.6801411
TARA_CHLORO_00312	Chlorophytes	mag	34.35431901
TARA_CHLORO_00313	Ochrophytes	mag	39.88295392
TARA_CHLORO_00314	Chlorophytes	mag	36.49187689
TARA_CHLORO_00315	Chlorophytes	mag	229.2809685
TARA_CHLORO_00316	Ochrophytes	mag	37.78348441
TARA_CHLORO_00317	Ochrophytes	mag	78.43339036
TARA_CHLORO_00318	Ochrophytes	mag	2542.824813
TARA_CHLORO_00319	Ochrophytes	mag	4298.43159
TARA_CHLORO_00320	Ochrophytes	mag	7641.722908
TARA_CHLORO_00321	Ochrophytes	mag	7285.435633
TARA_CHLORO_00322	Ochrophytes	mag	3403.559281
TARA_CHLORO_00323	Ochrophytes	mag	21.91798709
TARA_CHLORO_00324	Ochrophytes	mag	108.8508238
TARA_CHLORO_00325	Ochrophytes	mag	882.7531658
TARA_CHLORO_00326	Ochrophytes	mag	4196.023714
TARA_CHLORO_00327	Ochrophytes	mag	5866.373324
TARA_CHLORO_00328	Ochrophytes	mag	2145.16318
TARA_CHLORO_00329	Ochrophytes	mag	5196.181817
TARA_CHLORO_00331	Cryptophytes	mag	30.41082501
TARA_CHLORO_00332	Leptophytes	mag	19.53088919
TARA_CHLORO_00334	Haptophytes	mag	35.1548373
TARA_CHLORO_00335	Haptophytes	mag	885.094208
